Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Danielle L.,27,Small Business Owner,"Los Angeles, CA",65,6,21
Danielle M.,31,Neonatal Nurse,"Nashville, TN",70,7,21
Dominique,25,Restaurant Server,"Los Angeles, CA",64,3,21
Liz,29,Doula,"Las Vegas, NV",64,2,21
Elizabeth,24,Marketing Manager,"Dallas, TX",67,2,21
Hailey,23,Photographer,"Vancouver, British Columbia, Canada",67,2,21
Ida Marie,23,Sales Manager,"Harlingen, TX",68,1,21
Jaimi,28,Chef,"New Orleans, LA",62,5,21
Jasmine B.,25,Flight Attendant,"Tacoma, WA",62.5,1,21
Jasmine G.,29,Pro Basketball Dancer,"San Francisco, CA",67,6,21
Josephine,24,Registered Nurse,"Santa Cruz, CA",67.75,5,21
Kristina,24,Dental Hygienist,"Lexington, KY",62,7,21
Lacey,25,Digital Marketing Manager,"Manhattan, NY",63,2,21
Lauren,30,Law School Graduate,"Naples, FL",67,1,21
Michelle,24,Food Truck Owner,"Los Angeles, CA",61,1,21
Olivia,25,Apparel Sales Representative,"Anchorage, AK",67,1,21
Rachel,31,Attorney,"Dallas, TX",64,,21
Raven,25,Fashion Boutique Owner,"Hoxie, AR",66,,21
Sarah,26,Grade School Teacher,"Newport Beach, CA",65,4,21
Susannah,26,Account Manager,"San Diego, CA",66,1,21
Taylor,23,Mental Health Counselor,"Seattle, WA",64,5,21
Vanessa,29,Special Education Teacher,"Montreal, Quebec, Canada",63.5,,21
Whitney,25,Pilates Instructor,"Chanhassen, MN",68,6,21
